	WW	wwww	w
	EUI64-0080E10300037613-4-Motion	ot	16:25:16
EUI64-0080E10300037613-4-Motion 计数	1		
	EUI64-0080E10300037BCF-4-Motion	ot	16:24:12
EUI64-0080E10300037BCF-4-Motion 计数	1		
	EUI64-0080E10300043E89-4-Motion	ot	16:20:07
	EUI64-0080E10300043E89-4-Motion	in	16:20:42
	EUI64-0080E10300043E89-4-Motion	in	16:22:44
	EUI64-0080E10300043E89-4-Motion	ot	16:24:07
	EUI64-0080E10300043E89-4-Motion	in	16:24:49
	EUI64-0080E10300043E89-4-Motion	in	16:26:51
EUI64-0080E10300043E89-4-Motion 计数	6		
	EUI64-90FD9FFFFEA7756C-3-Motion	ot	16:18:11
	EUI64-90FD9FFFFEA7756C-3-Motion	ot	16:22:08
	EUI64-90FD9FFFFEA7756C-3-Motion	ot	16:26:04
EUI64-90FD9FFFFEA7756C-3-Motion 计数	3		
	EUI64-90FD9FFFFEA780BC-3-Motion	ot	16:19:30
	EUI64-90FD9FFFFEA780BC-3-Motion	in	16:20:15
	EUI64-90FD9FFFFEA780BC-3-Motion	ot	16:23:33
	EUI64-90FD9FFFFEA780BC-3-Motion	in	16:24:11
	EUI64-90FD9FFFFEA780BC-3-Motion	in	16:26:13
	EUI64-90FD9FFFFEA780BC-3-Motion	ot	16:27:37
EUI64-90FD9FFFFEA780BC-3-Motion 计数	6		
	EUI64-90FD9FFFFEA78279-3-Motion	ot	16:22:38
	EUI64-90FD9FFFFEA78279-3-Motion	ot	16:26:41
EUI64-90FD9FFFFEA78279-3-Motion 计数	2		
	EUI64-90FD9FFFFEA782EE-3-Motion	ot	16:23:05
	EUI64-90FD9FFFFEA782EE-3-Motion	ot	16:27:04
EUI64-90FD9FFFFEA782EE-3-Motion 计数	2		
	EUI64-90FD9FFFFEA783D6-3-Motion	ot	16:19:01
	EUI64-90FD9FFFFEA783D6-3-Motion	in	16:21:25
	EUI64-90FD9FFFFEA783D6-3-Motion	ot	16:23:03
	EUI64-90FD9FFFFEA783D6-3-Motion	in	16:23:41
	EUI64-90FD9FFFFEA783D6-3-Motion	in	16:26:55
	EUI64-90FD9FFFFEA783D6-3-Motion	ot	16:26:56
EUI64-90FD9FFFFEA783D6-3-Motion 计数	6		
	EUI64-90FD9FFFFEA7877E-3-Motion	ot	16:25:14
EUI64-90FD9FFFFEA7877E-3-Motion 计数	1		
